Kareem Hunt,CLE,24,,8,3,44,37,285,7.7,1,17,29,4.6,35.6,84.1%,6.5,43,179,2,8,16,4.2,22.4,5.4,80,5.8,464,3,1
Marquez Valdes-Scantling,GNB,25,WR,16,10,56,26,452,17.4,2,14,74,1.6,28.3,46.4%,8.1,2,9,0,0,9,4.5,0.6,0.1,28,16.5,461,2,0
O.J. Howard ,TAM,25,TE,14,14,53,34,459,13.5,1,23,33,2.4,32.8,64.2%,8.7,,,,0,,,,,34,13.5,459,1,1
Russell Gage,ATL,23,,16,4,74,49,446,9.1,1,25,19,3.1,27.9,66.2%,6.0,4,12,0,0,6,3.0,0.8,0.3,53,8.6,458,1,1
Rashaad Penny,SEA,23,,10,0,11,8,83,10.4,1,3,30,0.8,8.3,72.7%,7.5,65,370,3,16,58,5.7,37.0,6.5,73,6.2,453,4,1
Demarcus Robinson,KAN,25,wr,16,10,55,32,449,14.0,4,19,44,2.0,28.1,58.2%,8.2,,,,0,,,,,32,14.0,449,4,0
Boston Scott,PHI,24,,11,2,26,24,204,8.5,0,10,39,2.2,18.5,92.3%,7.8,61,245,5,17,25,4.0,22.3,5.5,85,5.3,449,5,4
Benny Snell Jr.,PIT,21,,13,2,4,3,23,7.7,0,0,14,0.2,1.8,75.0%,5.8,108,426,2,19,23,3.9,32.8,8.3,111,4.0,449,2,1
Jack Doyle*,IND,29,TE,16,16,72,43,448,10.4,4,29,23,2.7,28.0,59.7%,6.2,,,,0,,,,,43,10.4,448,4,1
Jimmy Graham,GNB,33,TE,16,10,60,38,447,11.8,3,23,48,2.4,27.9,63.3%,7.5,,,,0,,,,,38,11.8,447,3,1
Ted Ginn Jr.,NOR,34,WR,16,9,56,30,421,14.0,2,20,45,1.9,26.3,53.6%,7.5,3,18,0,2,12,6.0,1.1,0.2,33,13.3,439,2,0
J.D. McKissic,DET,26,,16,3,42,34,233,6.9,1,7,26,2.1,14.6,81.0%,5.5,38,205,0,8,44,5.4,12.8,2.4,72,6.1,438,1,0
Tyler Eifert,CIN,29,,16,4,63,43,436,10.1,3,24,27,2.7,27.3,68.3%,6.9,,,,0,,,,,43,10.1,436,3,0
Demaryius Thomas,NYJ,32,WR,11,10,58,36,433,12.0,1,22,47,3.3,39.4,62.1%,7.5,,,,0,,,,,36,12.0,433,1,0
Preston Williams,MIA,22,WR,8,7,60,32,428,13.4,3,24,35,4.0,53.5,53.3%,7.1,,,,0,,,,,32,13.4,428,3,2
Josh Gordon,2TM,28,,11,7,47,27,426,15.8,1,16,58,2.5,38.7,57.4%,9.1,1,1,0,0,1,1.0,0.1,0.1,28,15.3,427,1,0
Adam Thielen,MIN,29,WR,10,10,48,30,418,13.9,6,18,44,3.0,41.8,62.5%,8.7,4,6,1,1,3,1.5,0.6,0.4,34,12.5,424,7,0
Deshaun Watson *,HOU,24,QB,15,15,1,1,6,6.0,1,1,6,0.1,0.4,100.0%,6.0,82,413,7,29,30,5.0,27.5,5.5,83,5.0,419,8,10
Jordan Akins,HOU,27,TE,16,9,55,36,418,11.6,2,21,53,2.3,26.1,65.5%,7.6,,,,0,,,,,36,11.6,418,2,0
Phillip Dorsett,NWE,26,,14,4,54,29,397,13.7,5,17,58,2.1,28.4,53.7%,7.4,3,21,0,1,9,7.0,1.5,0.2,32,13.1,418,5,0
Allen Hurns,MIA,28,WR,14,7,47,32,416,13.0,2,18,27,2.3,29.7,68.1%,8.9,,,,0,,,,,32,13.0,416,2,1
Chase Edmonds,ARI,23,,13,2,21,12,105,8.8,1,5,31,0.9,8.1,57.1%,5.0,60,303,4,12,37,5.1,23.3,4.6,72,5.7,408,5,0
Gerald Everett,LAR,25,,13,2,60,37,408,11.0,2,22,33,2.8,31.4,61.7%,6.8,1,0,0,0,0,0.0,0.0,0.1,38,10.7,408,2,0
Giovani Bernard,CIN,28,,16,2,43,30,234,7.8,0,7,35,1.9,14.6,69.8%,5.4,53,170,0,10,25,3.2,10.6,3.3,83,4.9,404,0,2
Dawson Knox,BUF,23,TE,15,11,50,28,388,13.9,2,15,49,1.9,25.9,56.0%,7.8,1,9,0,1,9,9.0,0.6,0.1,29,13.7,397,2,0
Albert Wilson,MIA,27,,13,4,62,43,351,8.2,1,22,35,3.3,27.0,69.4%,5.7,5,45,0,1,28,9.0,3.5,0.4,48,8.3,396,1,0
Steven Sims,WAS,22,,16,2,56,34,310,9.1,4,18,65,2.1,19.4,60.7%,5.5,9,85,1,2,65,9.4,5.3,0.6,43,9.2,395,5,1
Brian Hill,ATL,24,,12,2,14,10,69,6.9,1,4,12,0.8,5.8,71.4%,4.9,78,323,2,19,27,4.1,26.9,6.5,88,4.5,392,3,0
Taysom Hill,NOR,29,wr,16,5,22,19,234,12.3,6,14,45,1.2,14.6,86.4%,10.6,27,156,1,10,30,5.8,9.8,1.7,46,8.5,390,7,0
Ty Johnson,DET,22,,16,1,31,24,109,4.5,0,4,13,1.5,6.8,77.4%,3.5,63,273,0,11,40,4.3,17.1,3.9,87,4.4,382,0,1
Bo Scarbrough,DET,23,rb,6,5,4,1,5,5.0,0,0,5,0.2,0.8,25.0%,1.3,89,377,1,15,30,4.2,62.8,14.8,90,4.2,382,1,1
Eric Ebron,IND,26,,11,2,52,31,375,12.1,3,20,48,2.8,34.1,59.6%,7.2,,,,0,,,,,31,12.1,375,3,0
Adam Humphries,TEN,26,,12,3,47,37,374,10.1,2,20,30,3.1,31.2,78.7%,8.0,1,1,0,0,1,1.0,0.1,0.1,38,9.9,375,2,1
Taylor Gabriel,CHI,28,WR,9,7,48,29,353,12.2,4,17,53,3.2,39.2,60.4%,7.4,3,20,0,1,14,6.7,2.2,0.3,32,11.7,373,4,0
Dion Lewis,TEN,29,,16,1,32,25,164,6.6,1,7,24,1.6,10.3,78.1%,5.1,54,209,0,6,17,3.9,13.1,3.4,79,4.7,373,1,1
Patrick Laird,MIA,24,,15,4,30,23,204,8.9,0,13,21,1.5,13.6,76.7%,6.8,62,168,1,9,18,2.7,11.2,4.1,85,4.4,372,1,0
Nelson Agholor,PHI,26,WR,11,10,69,39,363,9.3,3,17,43,3.5,33.0,56.5%,5.3,2,7,0,1,16,3.5,0.6,0.2,41,9.0,370,3,2
Keelan Cole,JAX,26,,16,1,35,24,361,15.0,3,19,55,1.5,22.6,68.6%,10.3,1,6,0,0,6,6.0,0.4,0.1,25,14.7,367,3,0
T.J. Hockenson ,DET,22,te,12,7,59,32,367,11.5,2,19,39,2.7,30.6,54.2%,6.2,,,,0,,,,,32,11.5,367,2,0
Kyle Rudolph ,MIN,30,TE,16,16,48,39,367,9.4,6,24,32,2.4,22.9,81.3%,7.6,,,,0,,,,,39,9.4,367,6,0
Kelvin Harmon,WAS,23,WR,16,8,44,30,365,12.2,0,16,30,1.9,22.8,68.2%,8.3,,,,0,,,,,30,12.2,365,0,0
Blake Jarwin,DAL,25,te,16,7,41,31,365,11.8,3,17,42,1.9,22.8,75.6%,8.9,,,,0,,,,,31,11.8,365,3,1
Damiere Byrd ,ARI,26,,11,3,46,32,359,11.2,1,16,58,2.9,32.6,69.6%,7.8,,,,0,,,,,32,11.2,359,1,1
Jakobi Meyers,NWE,23,,15,1,41,26,359,13.8,0,17,35,1.7,23.9,63.4%,8.8,,,,0,,,,,26,13.8,359,0,0
Kendrick Bourne,SFO,24,,16,0,44,30,358,11.9,5,23,30,1.9,22.4,68.2%,8.1,,,,0,,,,,30,11.9,358,5,0
Jordan Wilkins,IND,25,,14,1,11,7,43,6.1,0,1,11,0.5,3.1,63.6%,3.9,51,307,2,12,55,6.0,21.9,3.6,58,6.0,350,2,0
Jacob Hollister,SEA,26,,11,3,59,41,349,8.5,3,16,22,3.7,31.7,69.5%,5.9,,,,0,,,,,41,8.5,349,3,0
Hayden Hurst,BAL,26,,16,4,39,30,349,11.6,2,16,61,1.9,21.8,76.9%,8.9,,,,0,,,,,30,11.6,349,2,0
Josh Reynolds,LAR,24,,16,2,43,21,326,15.5,1,15,31,1.3,20.4,48.8%,7.6,5,23,0,2,12,4.6,1.4,0.3,26,13.4,349,1,0
Gardner Minshew II,JAX,23,QB,14,12,0,0,0,,0,0,0,0.0,0.0,0.0%,,67,344,0,20,21,5.1,24.6,4.8,67,5.1,344,0,13
Russell Wilson *,SEA,31,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,75,342,3,17,21,4.6,21.4,4.7,75,4.6,342,3,8
Darren Fells,HOU,33,TE,16,14,48,34,341,10.0,7,22,24,2.1,21.3,70.8%,7.1,,,,0,,,,,34,10.0,341,7,0
Willie Snead ,BAL,27,WR,16,11,46,31,339,10.9,5,20,50,1.9,21.2,67.4%,7.4,2,2,0,0,2,1.0,0.1,0.1,33,10.3,341,5,0
Tajae Sharpe,TEN,25,WR,15,6,35,25,329,13.2,4,20,47,1.7,21.9,71.4%,9.4,,,,0,,,,,25,13.2,329,4,0
David Moore,SEA,24,,14,1,34,17,301,17.7,2,14,60,1.2,21.5,50.0%,8.9,3,25,0,1,19,8.3,1.8,0.2,20,16.3,326,2,2
Derrius Guice,WAS,22,,5,1,9,7,79,11.3,1,2,45,1.4,15.8,77.8%,8.8,42,245,2,9,60,5.8,49.0,8.4,49,6.6,324,3,0
Nick Boyle,BAL,26,TE,16,15,43,31,321,10.4,2,13,35,1.9,20.1,72.1%,7.5,,,,0,,,,,31,10.4,321,2,0
Ryan Griffin,NYJ,29,TE,13,13,41,34,320,9.4,5,19,45,2.6,24.6,82.9%,7.8,,,,0,,,,,34,9.4,320,5,0
Cameron Brate,TAM,28,TE,16,6,55,36,311,8.6,4,21,37,2.3,19.4,65.5%,5.7,,,,0,,,,,36,8.6,311,4,0
Irv Smith Jr.,MIN,21,,16,7,47,36,311,8.6,2,17,29,2.3,19.4,76.6%,6.6,,,,0,,,,,36,8.6,311,2,1
Darrel Williams,KAN,24,,12,0,19,15,167,11.1,1,7,52,1.3,13.9,78.9%,8.8,41,141,3,12,41,3.4,11.8,3.4,56,5.5,308,4,1
Isaiah McKenzie,BUF,24,WR,15,8,39,27,254,9.4,1,12,46,1.8,16.9,69.2%,6.5,8,49,0,4,16,6.1,3.3,0.5,35,8.7,303,1,0
Dare Ogunbowale,TAM,25,,16,0,46,35,286,8.2,0,14,21,2.2,17.9,76.1%,6.2,11,17,2,3,12,1.5,1.1,0.7,46,6.6,303,2,2
Olabisi Johnson,MIN,22,,16,6,45,31,294,9.5,3,17,23,1.9,18.4,68.9%,6.5,1,6,0,0,6,6.0,0.4,0.1,32,9.4,300,3,0
Cody Latimer,NYG,27,wr,15,10,42,24,300,12.5,2,19,43,1.6,20.0,57.1%,7.1,,,,0,,,,,24,12.5,300,2,0
DaeSean Hamilton,DEN,24,,16,2,52,28,297,10.6,1,19,28,1.8,18.6,53.8%,5.7,,,,0,,,,,28,10.6,297,1,0
Justice Hill,BAL,22,,16,0,15,8,70,8.8,0,5,14,0.5,4.4,53.3%,4.7,58,225,2,10,18,3.9,14.1,3.6,66,4.5,295,2,0
Geronimo Allison,GNB,25,wr,16,6,55,34,287,8.4,2,16,31,2.1,17.9,61.8%,5.2,1,7,0,0,7,7.0,0.4,0.1,35,8.4,294,2,2
Jonathan Williams,IND,25,,9,1,5,5,59,11.8,0,3,31,0.6,6.6,100.0%,11.8,49,235,1,13,48,4.8,26.1,5.4,54,5.4,294,1,0
