Player,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Christian McCaffrey +,95.34375,0.625,0.1875,5.84375,7.40625,10.5,21.5,47.90625,47.4375,8.1,0.34375,2.4375,78.55,0.28125,2.34375,49.5,37.5,4.35,16.34375,5.75
Ezekiel Elliott,130.12,0.72,0.28,4.12,5.32,21.84,22.5,96.68,33.44,8.850000000000001,0.2,1.2,74.75,0.52,5.64,35.5,55.0,4.4,25.96,5.0
Nick Chubb,71.5625,0.625,0.0,1.25,1.8125,12.0,23.0,62.25,9.3125,7.5,0.125,0.3125,69.0,0.5,2.9375,92.0,24.0,5.2,13.25,5.4
Derrick Henry ,63.6875,0.5625,0.0625,0.8125,1.09375,12.21875,23.5,56.34375,7.34375,9.5,0.03125,0.25,74.0,0.53125,2.84375,87.0,43.5,4.550000000000001,13.03125,4.85
Michael Thomas+,82.8125,0.4375,0.0625,7.15625,9.25,0.0,24.5,0.0,82.8125,11.6,0.4375,4.78125,77.4,0.0,0.0,0.0,57.5,0.0,7.15625,11.6
Leonard Fournette ,93.61904761904762,0.7619047619047619,0.09523809523809523,2.761904761904762,3.5238095238095237,19.095238095238095,22.5,70.42857142857143,23.19047619047619,8.4,0.09523809523809523,1.3333333333333333,79.8,0.6666666666666666,3.5238095238095237,57.5,29.5,3.5999999999999996,21.857142857142858,4.2
Dalvin Cook,90.93333333333334,0.4,0.2,3.4,4.333333333333333,13.8,22.5,64.6,26.333333333333332,7.8999999999999995,0.13333333333333333,1.2,75.19999999999999,0.26666666666666666,2.533333333333333,51.5,31.5,4.699999999999999,17.2,5.25
Aaron Jones,58.5,0.5416666666666666,0.041666666666666664,1.4583333333333333,2.2083333333333335,8.916666666666666,23.5,49.0,9.5,5.15,0.041666666666666664,0.5833333333333334,62.15,0.5,2.6666666666666665,56.5,16.5,5.5,10.375,5.550000000000001
Austin Ekeler,49.9,0.36666666666666664,0.1,2.2,2.933333333333333,5.1,22.5,27.133333333333333,22.766666666666666,10.350000000000001,0.2,1.0333333333333334,75.35,0.16666666666666666,1.2666666666666666,38.0,41.0,5.35,7.3,6.949999999999999
Chris Carson,87.83333333333333,0.5555555555555556,0.16666666666666666,1.5,1.7777777777777777,16.444444444444443,23.5,75.5,12.333333333333334,8.3,0.05555555555555555,0.5555555555555556,85.4,0.5,4.111111111111111,45.5,18.5,4.45,17.944444444444443,4.85
Saquon Barkley,126.75,0.9375,0.0,5.6875,7.5625,16.3125,21.0,81.6875,45.0625,7.9,0.25,1.875,75.2,0.6875,3.125,78.0,57.0,5.0,22.0,5.8
Joe Mixon,84.89285714285714,0.4642857142857143,0.10714285714285714,2.607142857142857,3.1785714285714284,14.821428571428571,21.5,64.07142857142857,20.821428571428573,8.25,0.03571428571428571,0.8571428571428571,83.2,0.42857142857142855,3.5357142857142856,38.0,44.0,4.2,17.428571428571427,4.800000000000001
Julio Jones ,98.375,0.34375,0.0625,6.28125,9.9375,0.09375,28.5,0.84375,97.53125,15.6,0.34375,4.59375,63.0,0.0,0.0625,13.0,55.5,10.5,6.375,15.549999999999999
Chris Godwin,42.71875,0.25,0.125,2.90625,4.6875,0.0,21.5,0.0,42.71875,14.850000000000001,0.25,2.34375,61.95,0.0,0.0,0.0,59.0,0.0,2.90625,14.850000000000001
Alvin Kamara,101.48387096774194,1.0,0.06451612903225806,5.225806451612903,6.612903225806452,10.129032258064516,22.5,51.96774193548387,49.516129032258064,9.5,0.2903225806451613,2.4193548387096775,79.05,0.7096774193548387,3.4193548387096775,61.5,41.0,5.35,15.35483870967742,6.75
Mark Ingram,84.10714285714286,0.6785714285714286,0.21428571428571427,2.8214285714285716,3.5,13.142857142857142,28.5,63.17857142857143,20.928571428571427,7.65,0.03571428571428571,0.8571428571428571,79.75,0.6428571428571429,3.2142857142857144,55.0,41.0,4.800000000000001,15.964285714285714,5.199999999999999
Le'Veon Bell,141.85185185185185,0.7407407407407407,0.25925925925925924,5.925925925925926,7.407407407407407,21.555555555555557,24.5,94.77777777777777,47.074074074074076,7.949999999999999,0.14814814814814814,2.3703703703703702,80.0,0.5925925925925926,5.222222222222222,35.5,37.0,4.45,27.48148148148148,5.199999999999999
Robert Woods,77.46428571428571,0.42857142857142855,0.03571428571428571,5.071428571428571,7.678571428571429,0.75,25.5,6.035714285714286,71.42857142857143,14.05,0.39285714285714285,3.9285714285714284,66.05000000000001,0.03571428571428571,0.32142857142857145,32.0,66.5,7.15,5.821428571428571,13.399999999999999
Travis Kelce,76.80645161290323,0.5806451612903226,0.06451612903225806,6.0,8.774193548387096,0.06451612903225806,28.5,0.22580645161290322,76.58064516129032,12.75,0.5806451612903226,4.129032258064516,68.35,0.0,0.06451612903225806,2.0,43.5,1.75,6.064516129032258,12.65
Keenan Allen,87.55555555555556,0.4444444444444444,0.1111111111111111,8.11111111111111,10.666666666666666,0.0,23.5,0.0,87.55555555555556,10.65,0.4444444444444444,4.444444444444445,80.5,0.0,0.0,0.0,26.5,0.0,8.11111111111111,10.65
D.J. Moore,60.0,0.125,0.25,3.4375,5.125,0.8125,21.0,10.75,49.25,14.3,0.125,2.0625,67.1,0.0,0.375,32.0,82.0,13.2,4.25,14.1
