"Rank","Player","Team","Position","Points","Games","Avg"
"1","Todd Gurley","ATL","RB","383.3","15","25.6"
"2","Russell Wilson","SEA","QB","347.8","16","21.7"
"3","Le'Veon Bell","NYJ","RB","341.6","15","22.8"
"4","Alvin Kamara","NO","RB","315.4","16","19.7"
"5","Antonio Brown","FA","WR","310.3","14","22.2"
"6","DeAndre Hopkins","ARI","WR","309.8","15","20.7"
"7","Cam Newton","NE","QB","299.5","16","18.7"
"8","Tom Brady","TB","QB","295.9","16","18.5"
"9","Kareem Hunt","CLE","RB","295.2","16","18.5"
"10","Alex Smith","WAS","QB","295.1","15","19.7"
"11","Melvin Gordon","DEN","RB","288.1","16","18.0"
"12","Keenan Allen","LAC","WR","284.2","16","17.8"
"13","Carson Wentz","PHI","QB","283.7","13","21.8"
"14","Mark Ingram II","BAL","RB","278.0","16","17.4"
"15","Kirk Cousins","MIN","QB","277.6","16","17.4"
"16","Matthew Stafford","DET","QB","273.8","16","17.1"
"17","Philip Rivers","IND","QB","270.5","16","16.9"
"18","LeSean McCoy","TB","RB","263.6","16","16.5"
"19","Drew Brees","NO","QB","262.6","16","16.4"
"20","Larry Fitzgerald","ARI","WR","261.4","16","16.3"
"21","Dak Prescott","DAL","QB","260.8","16","16.3"
"22","Ben Roethlisberger","PIT","QB","260.6","15","17.4"
"23","Jarvis Landry","CLE","WR","260.0","16","16.3"
"24","Michael Thomas","NO","WR","258.5","16","16.2"
"25","Jared Goff","LAR","QB","255.5","15","17.0"
"26","Julio Jones","ATL","WR","251.9","16","15.7"
"27","Blake Bortles","FA","QB","249.7","16","15.6"
"28","Adam Thielen","MIN","WR","239.8","16","15.0"
"29","Tyreek Hill","KC","WR","239.2","15","16.0"
"30","Case Keenum","CLE","QB","238.1","15","15.9"
"31","Carlos Hyde","SEA","RB","234.0","16","14.6"
"32","Travis Kelce","KC","TE","233.5","15","15.6"
"33","Leonard Fournette","JAC","RB","230.2","13","17.7"
"34","Christian McCaffrey","CAR","RB","228.6","16","14.3"
"35","Matt Ryan","ATL","QB","228.1","16","14.3"
"36","Rob Gronkowski","TB","TE","227.3","13","17.5"
"37","A.J. Green","CIN","WR","226.8","16","14.2"
"38","Doug Baldwin","FA","WR","225.3","16","14.1"
"39","Marvin Jones","DET","WR","225.1","16","14.1"
