Rank,Player,Team,Position,Points,Games,Avg
492,Ryan Switzer,PIT,WR,10.7,9,1.2
493,Tra Carson,FA,RB,10.6,4,2.7
494,Clive Walford,FA,TE,10.1,8,1.3
494,Tevin Jones,DAL,WR,10.1,5,2
496,Patrick DiMarco,BUF,RB,9.8,16,0.6
497,Alex Armah,CAR,RB,9.7,16,0.6
498,Cedrick Wilson,DAL,WR,9.6,6,1.6
499,Khari Blasingame,TEN,RB,9.4,6,1.6
499,Troymaine Pope,FA,RB,9.4,14,0.7
499,Marshawn Lynch,FA,RB,9.4,2,4.7
502,Cethan Carter,CIN,TE,9.3,15,0.6
503,DeAndrew White,BAL,WR,9.1,10,0.9
504,Matt Barkley,BUF,QB,9,3,3
504,Travis Benjamin,SF,WR,9,5,1.8
504,Chad Beebe,MIN,WR,9,3,3
504,Greg Joseph,TEN,K,9,3,3
504,Chris Lacy,DET,WR,9,7,1.3
509,Ventell Bryant,DAL,WR,8.5,12,0.7
510,Jonathan Hilliman,FA,RB,8.2,3,2.7
511,Lance Kendricks,FA,TE,8,12,0.7
511,Devine Ozigbo,JAC,RB,8,10,0.8
511,Drew Sample,CIN,TE,8,9,0.9
511,Deon Yelder,KC,TE,8,10,0.8
515,Diontae Spencer,DEN,WR,7.7,16,0.5
516,Dwayne Washington,NO,RB,7.6,16,0.5
517,Jordan Matthews,FA,WR,7.3,3,2.4
518,Ross Travis,NYJ,TE,7.1,3,2.4
519,Trevon Wesco,NYJ,TE,6.9,16,0.4
520,Elijhaa Penny,NYG,RB,6.8,16,0.4
520,Geremy Davis,DET,WR,6.8,8,0.9
520,Deontay Burnett,PHI,WR,6.8,2,3.4
523,Johnny Mundt,LAR,TE,6.6,14,0.5
524,Alexander Hollins,MIN,WR,6.6,5,1.3
525,Jason Moore,LAC,WR,6.3,10,0.6
526,Devin Funchess,GB,WR,6.2,1,6.2
527,Michael Crabtree,FA,WR,6.2,3,2.1
528,Brett Hundley,ARI,QB,6.1,3,2
529,Tyrod Taylor,LAC,QB,6,8,0.8
529,Johnny Holton,FA,WR,6,16,0.4
529,Brandon Wilson,CIN,RB,6,12,0.5
532,Taiwan Jones,BUF,RB,5.9,11,0.5
533,Donte Moncrief,LAR,WR,5.8,8,0.7
534,Cody Core,NYG,WR,5.8,16,0.4
535,Nick Bawden,DET,RB,5.7,10,0.6
535,Steven Mitchell Jr.,HOU,WR,5.7,4,1.4
535,Andre Roberts,BUF,WR,5.7,13,0.4
538,Russell Shepard,FA,WR,5.5,3,1.8
539,Will Grier,CAR,QB,5.4,2,2.7
540,Ryan Grant,FA,WR,5.4,2,2.7
540,Ishmael Hyman,CAR,WR,5.4,2,2.7
542,Colt McCoy,NYG,QB,5.3,2,2.7
543,Anthony Sherman,KC,RB,5.1,16,0.3
544,C.J. Board,NYG,WR,5.1,4,1.3
544,Chris Moore,BAL,WR,5.1,14,0.4
546,Marqise Lee,NE,WR,4.9,6,0.8
547,Stanley Morgan Jr.,CIN,WR,4.8,11,0.4
548,Paul Perkins,FA,RB,4.8,4,1.2
549,Cam Sims,WAS,WR,4.7,8,0.6
549,Da'Mari Scott,NYG,WR,4.7,5,0.9
551,Pharaoh Brown,CLE,TE,4.7,9,0.5
552,Tanner Hudson,TB,TE,4.6,9,0.5
553,Bobo Wilson,FA,WR,4.5,6,0.8
553,Josh Oliver,JAC,TE,4.5,4,1.1
555,T.J. Logan,TB,RB,4.3,12,0.4
555,C.J. Anderson,FA,RB,4.3,2,2.2
557,Mike Glennon,JAC,QB,4.2,3,1.4
558,Eric Saubert,CHI,TE,4.1,2,2.1
558,Fred Brown,DEN,WR,4.1,13,0.3
558,Tyler Ervin,GB,RB,4.1,10,0.4
561,Josh Bellamy,NYJ,WR,4,7,0.6
561,Codey McElroy,TB,TE,4,1,4
563,Darius Jennings,LAC,WR,3.7,8,0.5
563,Robert Davis,FA,WR,3.7,6,0.6
563,Zach Zenner,FA,RB,3.7,6,0.6
566,Ashton Dulin,IND,WR,3.7,13,0.3
567,Gunner Olszewski,NE,WR,3.4,8,0.4
568,Mike Thomas,CIN,WR,3.4,16,0.2
569,Isaac Nauta,DET,TE,3.3,6,0.6
569,Cody Hollister,TEN,WR,3.3,5,0.7
571,Scott Simonson,FA,TE,3.1,6,0.5
572,Keith Smith,ATL,RB,3.1,16,0.2
573,Jay Ajayi,FA,RB,3,4,0.8
573,Levine Toilolo,NYG,TE,3,13,0.2
575,Dalyn Dawkins,FA,RB,2.6,2,1.3
575,Rashard Davis,TEN,WR,2.6,1,2.6
577,Roosevelt Nix,IND,RB,2.4,3,0.8
578,Jeff Smith,NYJ,WR,2.2,1,2.2
578,Sean Culkin,FA,TE,2.2,4,0.6
580,Antony Auclair,TB,TE,2.1,8,0.3
580,Chris Manhertz,CAR,TE,2.1,15,0.1
580,John Ursua,SEA,WR,2.1,3,0.7
580,De'Anthony Thomas,BAL,WR,2.1,14,0.2
584,Ben Koyack,FA,TE,1.9,12,0.2
584,Austin Carr,NO,WR,1.9,7,0.3
586,Ricky Ortiz,FA,RB,1.8,2,0.9
586,Jordan Thomas,HOU,TE,1.8,6,0.3
588,Chris Herndon IV,NYJ,TE,1.7,2,0.9
588,Dwayne Harris,FA,WR,1.7,3,0.6
590,Jaleel Scott,BAL,WR,1.6,3,0.5
590,Dalton Schultz,DAL,TE,1.6,16,0.1
590,Samaje Perine,CIN,RB,1.6,7,0.2
593,Tyrone Swoopes,PHI,TE,1.5,6,0.3
593,Charles Jones,FA,TE,1.5,4,0.4
593,Jakob Johnson,NE,RB,1.5,4,0.4
596,Krishawn Hogan,TEN,WR,1.4,8,0.2
596,Zach Gentry,PIT,TE,1.4,4,0.4
596,Darrell Daniels,ARI,TE,1.4,11,0.1
596,Senorise Perry,TEN,RB,1.4,11,0.1
600,Cyril Grayson,TB,WR,1.3,2,0.7
600,Xavier Grimble,IND,TE,1.3,3,0.4
602,Damien Harris,NE,RB,1.2,2,0.6
602,Josh Adams,NYJ,RB,1.2,2,0.6
604,Dexter Williams,GB,RB,1.1,4,0.3
604,Eric Tomlinson,NYG,TE,1.1,8,0.1
606,Buddy Howell,HOU,RB,1,16,0.1
607,Jordan Scarlett,FA,RB,0.9,9,0.1
607,Josh Ferguson,FA,RB,0.9,2,0.5
607,John Kelly,LAR,RB,0.9,5,0.2
610,Ryan Nall,CHI,RB,0.8,8,0.1
610,Josh McCown,FA,QB,0.8,3,0.3
612,Tony Brooks-James,MIN,RB,0.7,3,0.2
613,Ryan Griffin,TB,QB,0.6,2,0.3
613,De'Lance Turner,FA,RB,0.6,9,0.1
615,Sean Mannion,MIN,QB,0.5,3,0.2
616,Alfred Morris,FA,RB,0.4,1,0.4
617,James Develin,FA,RB,0.3,2,0.2
618,Trace McSorley,BAL,QB,0.1,1,0.1
618,Trevor Siemian,TEN,QB,0.1,1,0.1
620,Jester Weah,WAS,WR,0,1,0
620,James Franklin,FA,QB,0,1,0
620,Stephen Anderson,LAC,TE,0,1,0
620,Jaydon Mickens,FA,WR,0,1,0
620,Spencer Schnell,TB,WR,0,1,0
620,Juwann Winfree,DEN,WR,0,3,0
620,Bradley Marquez,FA,WR,0,1,0
620,Justin Hunter,FA,WR,0,1,0
620,Brian Quick,FA,WR,0,1,0
620,David Fales,NYJ,QB,0,2,0
620,Jeremy McNichols,TEN,RB,0,1,0
620,Markus Wheaton,FA,WR,0,1,0
620,Lil'Jordan Humphrey,NO,WR,0,5,0
620,Evan Baylis,GB,TE,0,5,0
620,Jason Vander Laan,NO,TE,0,2,0
620,Jace Sternberger,GB,TE,0,6,0
620,Gary Jennings Jr.,MIA,WR,0,1,0
620,Nsimba Webster,LAR,WR,0,5,0
620,Josh Doctson,NYJ,WR,0,1,0
620,Brandin Bryant,MIA,RB,0,4,0
620,Taywan Taylor,CLE,WR,0,4,0
620,Davion Davis,FA,WR,0,2,0
620,Ryan Santoso,FA,K,0,3,0
620,Travis Fulgham,PHI,WR,0,3,0
620,Craig Reynolds,FA,RB,0,3,0
620,Jalen Guyton,LAC,WR,0,3,0
620,Austin Walter,FA,RB,0,1,0
