Rank,Player,Team,Position,Points,Games,Avg
24,Jared Goff,LAR,QB,263.5,16,16.5
25,Keenan Allen,LAC,WR,261.5,16,16.3
26,Jimmy Garoppolo,SF,QB,260.2,16,16.3
27,Leonard Fournette,JAC,RB,259.4,15,17.3
28,Julian Edelman,NE,WR,256.3,16,16
29,Philip Rivers,IND,QB,255.5,16,16
30,Nick Chubb,CLE,RB,255.2,16,16
31,Allen Robinson,CHI,WR,254.9,16,15.9
32,Ryan Fitzpatrick,MIA,QB,254.7,15,17
33,Travis Kelce,KC,TE,254.3,16,15.9
34,Derek Carr,LV,QB,252.5,16,15.8
35,Kirk Cousins,MIN,QB,250.4,15,16.7
36,Baker Mayfield,CLE,QB,250.3,16,15.6
37,Alvin Kamara,NO,RB,248.5,14,17.8
38,Kenny Golladay,DET,WR,248,16,15.5
39,Amari Cooper,DAL,WR,246.5,16,15.4
40,DeVante Parker,MIA,WR,246.2,16,15.4
41,Saquon Barkley,NYG,RB,244.1,13,18.8
42,Mark Ingram II,BAL,RB,242.5,15,16.2
43,Jarvis Landry,CLE,WR,237.4,16,14.8
44,New England Patriots,NE,DST,236,16,14.8
45,Gardner Minshew II,JAC,QB,235.3,14,16.8
46,Tyler Lockett,SEA,WR,235.2,16,14.7
47,Robert Woods,LAR,WR,232.9,15,15.5
48,Mike Evans,TB,WR,232.7,13,17.9
49,Chris Carson,SEA,RB,232.6,15,15.5
50,D.J. Moore,CAR,WR,230.5,15,15.4
51,Ryan Tannehill,TEN,QB,230.2,12,19.2
52,Drew Brees,NO,QB,228.8,11,20.8
53,Daniel Jones,NYG,QB,226.9,13,17.5
54,D.J. Chark,JAC,WR,225.8,15,15.1
55,Joe Mixon,CIN,RB,225.4,16,14.1
56,Jacoby Brissett,IND,QB,223.7,15,14.9
57,Tyler Boyd,CIN,WR,222.9,16,13.9
58,George Kittle,SF,TE,222.5,14,15.9
59,Courtland Sutton,DEN,WR,222.4,16,13.9
60,Darren Waller,LV,TE,221,16,13.8
61,John Brown,BUF,WR,219.8,15,14.7
62,Todd Gurley,ATL,RB,219.4,15,14.6
63,Miles Sanders,PHI,RB,218.7,16,13.7
64,Andy Dalton,DAL,QB,217.5,13,16.7
65,A.J. Brown,TEN,WR,217.1,16,13.6
66,Zach Ertz,PHI,TE,215.6,15,14.4
67,Le'Veon Bell,NYJ,RB,215,15,14.3
68,Kenyan Drake,ARI,RB,214.2,14,15.3
69,Mitch Trubisky,CHI,QB,212.8,15,14.2
70,Michael Gallup,DAL,WR,212.7,14,15.2
71,Davante Adams,GB,WR,212.7,12,17.7
72,Stefon Diggs,BUF,WR,212.1,15,14.1
73,Mark Andrews,BAL,TE,207.2,15,13.8
74,Sam Darnold,NYJ,QB,202.1,13,15.6
75,Odell Beckham Jr.,CLE,WR,201.3,16,12.6
76,James White,NE,RB,200.2,15,13.4
77,Phillip Lindsay,DEN,RB,197.7,16,12.4
77,Jamison Crowder,NYJ,WR,197.7,16,12.4
79,Devonta Freeman,FA,RB,197.6,14,14.1
80,Calvin Ridley,ATL,WR,197,13,15.2
81,Marvin Jones,DET,WR,193.9,13,14.9
82,Kyle Allen,WAS,QB,193.4,14,13.8
83,Terry McLaurin,WAS,WR,191.9,14,13.7
84,Austin Hooper,CLE,TE,191.7,13,14.8
85,Josh Jacobs,LV,RB,191.6,13,14.7
86,Emmanuel Sanders,NO,WR,190.3,17,11.2
87,Deebo Samuel,SF,WR,189.1,15,12.6
88,Tyreek Hill,KC,WR,188.3,12,15.7
89,D.K. Metcalf,SEA,WR,187.1,16,11.7
90,Cole Beasley,BUF,WR,184.8,15,12.3
91,Marlon Mack,IND,RB,181.3,14,13
92,Melvin Gordon,DEN,RB,180.8,12,15.1
93,Larry Fitzgerald,ARI,WR,177.4,16,11.1
94,Pittsburgh Steelers,PIT,DST,173,16,10.8
95,Curtis Samuel,CAR,WR,171.7,16,10.7
96,Matthew Stafford,DET,QB,171.5,8,21.4
97,David Montgomery,CHI,RB,170.4,16,10.7
98,Darius Slayton,NYG,WR,170,14,12.1
99,Christian Kirk,ARI,WR,168.2,13,12.9
100,Jared Cook,NO,TE,167.5,14,12
101,Ronald Jones II,TB,RB,166.3,16,10.4
102,Harrison Butker,KC,K,166,16,10.4
103,Raheem Mostert,SF,RB,165.2,16,10.3
104,Tarik Cohen,CHI,RB,163.9,16,10.2
105,Diontae Johnson,PIT,WR,163.1,16,10.2
106,Wil Lutz,NO,K,163,16,10.2
106,San Francisco 49ers,SF,DST,163,16,10.2
108,Robby Anderson,CAR,WR,162.3,16,10.1
109,Mike Williams,LAC,WR,161.3,15,10.8
110,Tyler Higbee,LAR,TE,160.4,15,10.7
111,Latavius Murray,NO,RB,157.2,16,9.8
112,Dede Westbrook,JAC,WR,156.7,15,10.5
113,Chris Conley,JAC,WR,156.5,16,9.8
114,Randall Cobb,HOU,WR,154.9,15,10.3
115,Duke Johnson,HOU,RB,154,16,9.6
115,Baltimore Ravens,BAL,DST,154,16,9.6
117,Carlos Hyde,SEA,RB,153.2,16,9.6
118,Justin Tucker,BAL,K,153,16,9.6
119,Sony Michel,NE,RB,152.6,16,9.5
120,Golden Tate,NYG,WR,152.2,11,13.8
121,Hunter Henry,LAC,TE,150.2,12,12.5
122,Devin Singletary,BUF,RB,147.9,12,12.3
123,Adrian Peterson,WAS,RB,147,16,9.2
124,Marquise Brown,BAL,WR,146.4,14,10.5
125,Jamaal Williams,GB,RB,146.3,14,10.5
126,Los Angeles Rams,LAR,DST,146,16,9.1
127,James Conner,PIT,RB,145.5,10,14.6
128,Matt Gay,TB,K,145,16,9.1
129,Dallas Goedert,PHI,TE,144.7,15,9.7
130,Tyrell Williams,LV,WR,143.1,14,10.2
131,Royce Freeman,DEN,RB,142.2,16,8.9
132,Minnesota Vikings,MIN,DST,142,16,8.9
133,Sterling Shepard,NYG,WR,141.8,10,14.2
134,David Johnson,HOU,RB,141.5,13,10.9
135,Damien Williams,KC,RB,141.1,11,12.8
136,Danny Amendola,DET,WR,140.6,15,9.4
137,Jason Witten,LV,TE,139.9,16,8.7
138,Sammy Watkins,KC,WR,138.5,14,9.9
139,Breshad Perriman,NYJ,WR,138.1,14,9.9
140,New York Jets,NYJ,DST,137,16,8.6
141,Zane Gonzalez,ARI,K,136,16,8.5
141,Mike Gesicki,MIA,TE,136,16,8.5
141,Kansas City Chiefs,KC,DST,136,16,8.5
144,Tevin Coleman,SF,RB,135.4,14,9.7
145,Zach Pascal,IND,WR,135.3,16,8.5
146,New Orleans Saints,NO,DST,135,16,8.4
147,Will Fuller,HOU,WR,134,11,12.2
147,Tampa Bay Buccaneers,TB,DST,134,16,8.4
147,Josh Lambo,JAC,K,134,16,8.4
150,James Washington,PIT,WR,133.5,15,8.9
151,Hunter Renfrow,LV,WR,133.5,13,10.3
152,Matt Prater,DET,K,133,16,8.3
153,Dan Bailey,MIN,K,132,16,8.3
154,Brandon McManus,DEN,K,131,16,8.2
154,Tennessee Titans,TEN,DST,131,16,8.2
156,Joey Slye,CAR,K,130,16,8.1
156,Buffalo Bills,BUF,DST,130,16,8.1
158,Greg Zuerlein,DAL,K,129,16,8.1
159,Anthony Miller,CHI,WR,127.5,16,8
160,Chris Boswell,PIT,K,126,16,7.9
161,T.Y. Hilton,IND,WR,125.1,10,12.5
162,Mohamed Sanu,NE,WR,124.1,15,8.3
163,Greg Olsen,SEA,TE,123.7,14,8.8
164,Alshon Jeffery,PHI,WR,122.2,10,12.2
165,DeAndre Washington,KC,RB,121.9,16,7.6
166,Kenny Stills,HOU,WR,120.1,13,9.2
167,Mecole Hardman,KC,WR,119.5,16,7.5
168,LeSean McCoy,TB,RB,118.6,13,9.1
169,Seattle Seahawks,SEA,DST,118,16,7.4
170,Nyheim Hines,IND,RB,117.9,16,7.4
171,Mason Rudolph,PIT,QB,117.8,10,11.8
172,Brandin Cooks,HOU,WR,117.5,14,8.4
173,Jason Myers,SEA,K,117,16,7.3
173,Randy Bullock,CIN,K,117,16,7.3
175,Peyton Barber,WAS,RB,116.5,16,7.3
176,Jason Sanders,MIA,K,116.1,16,7.3
177,Robbie Gould,SF,K,116,13,8.9
177,Austin Seibert,CLE,K,116,16,7.3
179,Corey Davis,TEN,WR,115.1,15,7.7
180,Mason Crosby,GB,K,115,16,7.2
181,Adam Thielen,MIN,WR,114.4,10,11.4
182,Indianapolis Colts,IND,DST,114,16,7.1
183,Kyle Rudolph,MIN,TE,113.7,16,7.1
184,JuJu Smith-Schuster,PIT,WR,113.2,12,9.4
185,Jack Doyle,IND,TE,111.8,16,7
186,Jordan Howard,MIA,RB,111.4,10,11.1
187,Noah Fant,DEN,TE,111,16,6.9
188,Darren Fells,HOU,TE,110.1,16,6.9
189,Ka'imi Fairbairn,HOU,K,110,16,6.9
190,Steven Sims,WAS,WR,109.5,16,6.8
191,Evan Engram,NYG,TE,109.4,8,13.7
192,Jake Elliott,PHI,K,109,16,6.8
192,Philadelphia Eagles,PHI,DST,109,16,6.8
194,Case Keenum,CLE,QB,108.4,10,10.8
195,Green Bay Packers,GB,DST,108,16,6.8
195,Dustin Hopkins,WAS,K,108,16,6.8
197,Stephen Hauschka,BUF,K,107,16,6.7
198,Tyler Eifert,JAC,TE,106.6,16,6.7
199,Jaylen Samuels,PIT,RB,105.4,14,7.5
200,Brett Maher,NYJ,K,105,13,8.1
201,Jonnu Smith,TEN,TE,104.7,16,6.5
202,Matt Breida,MIA,RB,103.3,13,8
203,Eddy Pineiro,CHI,K,103,16,6.4
204,Allen Lazard,GB,WR,102.8,16,6.4
205,Taysom Hill,NO,QB,102.2,16,6.4
206,Auden Tate,CIN,WR,101.5,13,7.8
207,Kareem Hunt,CLE,RB,101.4,9,11.3
208,Rex Burkhead,NE,RB,101.1,13,7.8
209,Demarcus Robinson,KC,WR,100.9,16,6.3
210,Phillip Dorsett,SEA,WR,100.8,14,7.2
211,Jimmy Graham,CHI,TE,100.7,16,6.3
212,Jacksonville Jaguars,JAC,DST,99,16,6.2
212,Denver Broncos,DEN,DST,99,16,6.2
212,Dallas Cowboys,DAL,DST,99,16,6.2
215,Russell Gage,ATL,WR,98.8,16,6.2
216,Ryan Griffin,NYJ,TE,98,13,7.5
217,Kendrick Bourne,SF,WR,97.8,16,6.1
218,Daniel Carlson,LV,K,97,16,6.1
219,Boston Scott,PHI,RB,96.9,11,8.8
220,Alex Erickson,CIN,WR,96.2,16,6
221,Chicago Bears,CHI,DST,96,16,6
222,Willie Snead,BAL,WR,95.1,16,5.9
223,John Ross,CIN,WR,95,8,11.9
224,Frank Gore,NYJ,RB,94.9,16,5.9
225,Nelson Agholor,LV,WR,94,11,8.6
226,Jacob Hollister,SEA,TE,93.9,11,8.5
227,Chris Thompson,JAC,RB,93.6,11,8.5
228,Younghoe Koo,ATL,K,93,8,11.6
228,Sam Ficken,NYJ,K,93,15,6.2
230,Gus Edwards,BAL,RB,92.6,16,5.8
231,Teddy Bridgewater,CAR,QB,92.5,10,9.3
232,Cameron Brate,TB,TE,91.1,16,5.7
233,Carolina Panthers,CAR,DST,91,16,5.7
233,Chase McLaughlin,IND,K,91,11,8.3
235,Preston Williams,MIA,WR,90.8,8,11.4
236,Taylor Gabriel,FA,WR,90.3,9,10
237,Atlanta Falcons,ATL,DST,90,16,5.6
237,Houston Texans,HOU,DST,90,16,5.6
239,Joe Flacco,NYJ,QB,89.9,8,11.2
240,Jordan Akins,HOU,TE,89.8,16,5.6
241,Gerald Everett,LAR,TE,89.8,13,6.9
242,Albert Wilson,MIA,WR,89.4,13,6.9
243,Tony Pollard,DAL,RB,89.2,15,6
244,Marcus Mariota,LV,QB,87.1,7,12.4
245,Cleveland Browns,CLE,DST,87,16,5.4
246,Eric Ebron,PIT,TE,86.5,11,7.9
246,Adam Humphries,TEN,WR,86.5,12,7.2
248,Washington Football Team,WAS,DST,86,16,5.4
249,Ted Ginn,CHI,WR,85.9,16,5.4
250,Blake Jarwin,DAL,TE,85.5,16,5.3
251,Demaryius Thomas,FA,WR,85.3,11,7.8
252,Kerryon Johnson,DET,RB,85,8,10.6
253,Marquez Valdes-Scantling,GB,WR,84.1,16,5.3
254,O.J. Howard,TB,TE,83.9,14,6
255,J.D. McKissic,WAS,RB,83.8,16,5.2
256,Dwayne Haskins,WAS,QB,83.7,9,9.3
