"Rank","Player","Team","Position","Points","Games","Avg"
"448","Leonte Carroo","FA","WR","18.8","5","3.8"
"449","Seth DeValve","FA","TE","18.4","7","2.6"
"450","Brice Butler","FA","WR","18.0","6","3.0"
"451","Adam Shaheen","MIA","TE","17.8","5","3.6"
"452","Robert Tonyan","GB","TE","17.7","7","2.5"
"453","Dontrell Hilliard","CLE","RB","17.5","10","1.8"
"454","Cameron Artis-Payne","FA","RB","17.4","4","4.4"
"455","Matt Barkley","BUF","QB","17.1","1","17.1"
"456","Jake Butt","DEN","TE","16.5","3","5.5"
"457","Jermaine Gresham","FA","TE","16.4","9","1.8"
"458","Cam Batson","TEN","WR","16.3","9","1.8"
"459","Darrel Williams","KC","RB","16.1","4","4.0"
"460","Kai Forbath","FA","K","16.0","3","5.3"
"461","Darren Waller","LV","TE","15.6","4","3.9"
"462","Brian Hill","ATL","RB","15.6","5","3.1"
"463","Elijhaa Penny","NYG","RB","15.5","11","1.4"
"464","Dwayne Washington","NO","RB","15.4","8","1.9"
"465","Eric Tomlinson","NYG","TE","15.2","13","1.2"
"466","Jeremy Sprinkle","WAS","TE","15.1","8","1.9"
"467","Alex Armah","CAR","RB","15.0","10","1.5"
"468","Stevan Ridley","FA","RB","14.8","9","1.6"
"469","Blake Bell","DAL","TE","14.7","8","1.8"
"470","Devonta Freeman","FA","RB","14.1","2","7.1"
"471","Tommylee Lewis","CAR","WR","14.0","7","2.0"
"472","Taylor Heinicke","FA","QB","13.9","5","2.8"
"473","A.J. Derby","FA","TE","13.8","3","4.6"
"474","J.J. Nelson","SF","WR","13.4","9","1.5"
"475","Kevin White","FA","WR","13.2","3","4.4"
"475","Chris Manhertz","CAR","TE","13.2","7","1.9"
"477","Sam Ficken","NYJ","K","13.0","2","6.5"
"477","Keith Ford","FA","RB","13.0","2","6.5"
"479","Nathan Peterman","LV","QB","12.8","4","3.2"
"480","Sam Bradford","FA","QB","12.7","3","4.2"
"481","Ryan Izzo","NE","TE","12.7","5","2.5"
"482","Xavier Grimble","IND","TE","12.6","8","1.6"
"482","Corey Coleman","NYG","WR","12.6","8","1.6"
"484","De'Anthony Thomas","BAL","WR","12.5","5","2.5"
"484","Mark Walton","FA","RB","12.5","10","1.3"
"486","Russell Gage","ATL","WR","12.3","9","1.4"
"487","John Kelly","LAR","RB","12.1","4","3.0"
"487","David Grinnage","FA","TE","12.1","3","4.0"
"489","Antony Auclair","TB","TE","11.8","9","1.3"
"490","Joshua Perkins","PHI","TE","11.7","6","2.0"
"491","Charcandrick West","FA","RB","11.6","2","5.8"
"492","DeAndre Washington","KC","RB","11.4","8","1.4"
"493","Kamar Aiken","FA","WR","11.3","2","5.7"
"494","Dwayne Harris","FA","WR","11.2","15","0.8"
"495","Durham Smythe","MIA","TE","11.0","9","1.2"
"496","Mike Glennon","JAC","QB","10.9","2","5.5"
"496","T.J. Logan","TB","RB","10.9","7","1.6"
"498","Matt Lengel","FA","TE","10.7","8","1.3"
"499","Neal Sterling","FA","TE","10.7","4","2.7"
"499","D'Onta Foreman","FA","RB","10.7","1","10.7"
"501","Noah Brown","DAL","WR","10.4","7","1.5"
"502","Tommy Bohanon","FA","RB","10.1","9","1.1"
"502","Patrick DiMarco","BUF","RB","10.1","9","1.1"
"504","Rashad Greene","FA","WR","10.0","7","1.4"
"505","Eric Saubert","CHI","TE","9.8","8","1.2"
"506","Delanie Walker","FA","TE","9.2","1","9.2"
"506","Bobo Wilson","FA","WR","9.2","5","1.8"
"506","Jacob Hollister","SEA","TE","9.2","4","2.3"
"509","Derrick Willies","FA","WR","9.1","1","9.1"
"510","Detrez Newsome","FA","RB","8.8","6","1.5"
"511","David Morgan","FA","TE","8.6","7","1.2"
"512","Kenjon Barner","FA","RB","8.4","9","0.9"
"513","Brian Parker","FA","TE","8.3","8","1.0"
"514","Roosevelt Nix","IND","RB","8.2","12","0.7"
"515","Jawill Davis","FA","WR","8.0","7","1.1"
"516","Byron Marshall","FA","RB","7.9","5","1.6"
"517","Chad Beebe","MIN","WR","7.9","3","2.6"
"518","Tyler Kroft","BUF","TE","7.6","5","1.5"
"519","Rico Gathers","FA","TE","7.5","8","0.9"
"519","Auden Tate","CIN","WR","7.5","6","1.3"
"521","Rishard Matthews","FA","WR","7.4","6","1.2"
"522","Keith Smith","ATL","RB","7.3","10","0.7"
"523","Teddy Bridgewater","CAR","QB","7.2","4","1.8"
"523","Ben Braunecker","FA","TE","7.2","10","0.7"
"523","Javon Wims","CHI","WR","7.2","2","3.6"
"526","Ryan Hewitt","FA","RB","7.1","5","1.4"
"526","Roc Thomas","FA","RB","7.1","5","1.4"
"528","Ray-Ray McCloud","PIT","WR","7.0","8","0.9"
"529","Marcedes Lewis","GB","TE","6.9","6","1.2"
"530","Mike Boone","MIN","RB","6.8","6","1.1"
"530","John Phillips","FA","TE","6.8","2","3.4"
"532","Samaje Perine","CIN","RB","6.7","4","1.7"
"532","Jalen Tolliver","FA","WR","6.7","3","2.2"
"534","Tyler Ervin","GB","RB","6.5","9","0.7"
"534","Derek Anderson","FA","QB","6.5","2","3.3"
"536","Shaun Wilson","FA","RB","6.4","5","1.3"
"537","Shelton Gibson","FA","WR","5.8","6","1.0"
"537","Tre Madden","FA","RB","5.8","9","0.6"
"539","Jordan Franks","CIN","TE","5.7","4","1.4"
"539","Dwayne Allen","FA","TE","5.7","5","1.1"
"541","DeShone Kizer","FA","QB","5.4","3","1.8"
"542","Orson Charles","FA","TE","5.3","10","0.5"
"543","Justin Hunter","FA","WR","5.1","4","1.3"
"544","C.J. Prosise","FA","RB","4.9","2","2.5"
